云厂商,地理大区,详细位置,区域代码,Cloudflare配置字符串
AWS,北美洲,美国东部 (弗吉尼亚北部),us-east-1,aws:us-east-1
AWS,北美洲,美国中东部 (俄亥俄),us-east-2,aws:us-east-2
AWS,北美洲,美国西部 (北加利福尼亚),us-west-1,aws:us-west-1
AWS,北美洲,美国西部 (俄勒冈),us-west-2,aws:us-west-2
AWS,北美洲,加拿大东南部 (蒙特利尔),ca-central-1,aws:ca-central-1
AWS,北美洲,加拿大西部 (卡尔加里),ca-west-1,aws:ca-west-1
AWS,北美洲,墨西哥中部 (克雷塔罗),mx-central-1,aws:mx-central-1
AWS,南美洲,巴西东南部 (圣保罗),sa-east-1,aws:sa-east-1
AWS,欧洲,德国中西部 (法兰克福),eu-central-1,aws:eu-central-1
AWS,欧洲,瑞士北部 (苏黎世),eu-central-2,aws:eu-central-2
AWS,欧洲,瑞典东部 (斯德哥尔摩),eu-north-1,aws:eu-north-1
AWS,欧洲,意大利北部 (米兰),eu-south-1,aws:eu-south-1
AWS,欧洲,西班牙东北部 (萨拉戈萨),eu-south-2,aws:eu-south-2
AWS,欧洲,爱尔兰东部 (都柏林),eu-west-1,aws:eu-west-1
AWS,欧洲,英国东南部 (伦敦),eu-west-2,aws:eu-west-2
AWS,欧洲,法国中北部 (巴黎),eu-west-3,aws:eu-west-3
AWS,亚太地区,中国南部 (香港),ap-east-1,aws:ap-east-1
AWS,亚太地区,中国东南部 (台湾彰化),ap-east-2,aws:ap-east-2
AWS,亚太地区,日本东部 (东京),ap-northeast-1,aws:ap-northeast-1
AWS,亚太地区,韩国西北部 (首尔),ap-northeast-2,aws:ap-northeast-2
AWS,亚太地区,日本中西部 (大阪),ap-northeast-3,aws:ap-northeast-3
AWS,亚太地区,印度西部 (孟买),ap-south-1,aws:ap-south-1
AWS,亚太地区,印度中南部 (海得拉巴),ap-south-2,aws:ap-south-2
AWS,亚太地区,新加坡 (新加坡),ap-southeast-1,aws:ap-southeast-1
AWS,亚太地区,澳大利亚东部 (悉尼),ap-southeast-2,aws:ap-southeast-2
AWS,亚太地区,印度尼西亚西北部 (雅加达),ap-southeast-3,aws:ap-southeast-3
AWS,亚太地区,澳大利亚东南部 (墨尔本),ap-southeast-4,aws:ap-southeast-4
AWS,亚太地区,马来西亚西部 (吉隆坡),ap-southeast-5,aws:ap-southeast-5
AWS,亚太地区,新西兰北部 (奥克兰),ap-southeast-6,aws:ap-southeast-6
AWS,亚太地区,泰国中部 (曼谷),ap-southeast-7,aws:ap-southeast-7
AWS,中东/非洲,以色列中西部 (特拉维夫),il-central-1,aws:il-central-1
